"PicPay - Callbacks","PicPay - Callbacks"
"Don't forget to configure the Webhook URL in your PicPay account.","Não se esqueça de configurar a URL do Webhook em sua conta PicPay."
"Webhook URL: %1","URL do Webhook: %1"
"More info <a href=""%1"" target=""_blank"">here</a>","Mais informações <a href=""%1"" target=""_blank"">aqui</a>"
"Module Version: v%1","Versão do Módulo: v%1"
"Credit Card Type","Bandeira do Cartão"
"Credit Card Owner","Nome do Titular"
"Card Number","Número do Cartão"
Installments,Parcelas
N/A,N/A
"Interest Rate","Taxa de Juros"
"Callback List","Lista de Callbacks"
"Request List","Lista de Requisições"
Content,Conteúdo
Params,Parâmetros
"Webhook %1","Webhook %1"
"Error on get token","Erro ao obter token"
"There was an error with your card data, verify and try again.","Houve um erro com os dados do seu cartão, verifique e tente novamente."
"There was an error processing your request.","Houve um erro ao processar sua requisição."
"Payment data object should be provided","O objeto de dados de pagamento deve ser fornecido"
"%1x of %2 (%3). Total: %4","%1x de %2 (%3). Total: %4"
"without interest","sem juros"
"with interest","com juros"
"with discount","com desconto"
"Callback received %1 -> %2","Callback recebido %1 -> %2"
"Your payment for the order %1 was confirmed","Seu pagamento para o pedido %1 foi confirmado"
"The order %1 was cancelled. Amount of %2","O pedido %1 foi cancelado. Valor de %2"
"The order had the amount refunded by PicPay. Amount of %1","O pedido teve o valor reembolsado pelo PicPay. Valor de %1"
"in cash payments","pagamentos à vista"
"%1 installments","%1 parcelas"
"Per Installments","Por Parcela"
Amortization,Amortização
Compound,Composto
Simple,Simples
Authorize,Autorizar
"Authorize and Capture","Autorizar e Capturar"
"Street Line %1","Linha de Endereço %1"
"Item with id ""%1"" does not exist.","Item com id ""%1"" não existe."
"Could not save the callback info: %1","Não foi possível salvar as informações do callback: %1"
"Could not save the request info: %1","Não foi possível salvar as informações da requisição: %1"
"Not Available","Indisponível"
ID,ID
Status,Status
Payload,Payload
"Chosen payment method","Método de pagamento escolhido"
"Card Information","Informações do Cartão"
"Insert your card number to see installments options","Insira o número do seu cartão para ver as opções de parcelamento"
"Place Order","Finalizar Pedido"
"Name on Card","Nome do Titular"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Segurança"
CVV,CVV
"Customer Taxvat","Doumento do Titular"
"Credit card number does not match credit card type.","O número do cartão de crédito não corresponde ao tipo de cartão de crédito."
"Please enter a valid credit card type number.","Por favor, insira um número de cartão de crédito válido."
"PicPay Checkout","PicPay Checkout"
"Credit Card","Cartão de Crédito"
"Title of the payment method to be shown on checkout's page","Título do método de pagamento a ser exibido na página de checkout"
Capture,Capturar
"Automatically Capture the transaction?","Capturar a transação automaticamente?"
"Credit Card Types","Bandeiras de Cartão de Crédito"
"New Order Status","Status de Novos Pedido"
"Paid Order Status","Status de Pedidos Pagos"
"Paid Virtual Order Status","Status de Pedidos Virtuais Pagos"
"Min Installments","Mínimo de Parcelas"
"Max Installments","Máximo de Parcelas"
"Max Installments Without Interest","Máximo de Parcelas Sem Juros"
"Minimum Installment Amount","Valor da Parcela Mínima"
"Has Interest","Possui Juros"
"Interest Type","Tipo de Juros"
"Interest rate","Taxa de Juros"
"Number format with dot (.) as decimal separator","Formato numérico com ponto (.) como separador decimal"
"Interest Per Installments","Juros por Parcela"
"It'll charge the interest based on installments saved below","Será cobrado juros com base nas parcelas salvas abaixo"
"Interest orders with 1 installment","Juros para pedidos em 1 parcela"
"Interest orders with 2 installments","Juros para pedidos em 2 parcelas"
"Interest orders with 3 installments","Juros para pedidos em 3 parcelas"
